algo,arrivalRate,throughput,median latency,99%,error rate
epaxos-exec,5000,5032,25365,43558,0
epaxos-commit,5000,5033,2513,6785,0
epaxos-exec,50000,50125,5399,11405,0
epaxos-commit,50000,50128,1446,7293,0
epaxos-exec,100000,100102,6473,27511,0
epaxos-commit,100000,100107,4005,37476,0
epaxos-exec,150000,150107,6342,71637,0
epaxos-commit,150000,150128,4350,90678,0
epaxos-exec,200000,200114,6700,161658,0
epaxos-commit,200000,200134,5483,189142,0
epaxos-exec,250000,250207,7895,180155,0
epaxos-commit,250000,248778,545675,1084830,0
epaxos-exec,400000,353632,535320,1058222,0
epaxos-commit,400000,253257,975287,1369227,0
epaxos-exec,500000,349422,677936,1265388,0
epaxos-commit,500000,259216,961769,1307796,0
epaxos-exec,550000,334435,712942,1221869,0
epaxos-commit,550000,252121,992711,1339285,0
epaxos-exec,560000,324774,729636,1227285,0
epaxos-commit,560000,248968,1006030,1367664,0
epaxos-exec,575000,327990,727465,1267261,0
epaxos-commit,575000,250497,986516,1360622,0
epaxos-exec,600000,336541,714135,1183829,0
epaxos-commit,600000,255735,969657,1356036,0
epaxos-exec,650000,330600,727629,1174506,0
epaxos-commit,650000,250113,992882,1347937,0
epaxos-exec,750000,339417,714128,1232130,0
epaxos-commit,750000,251286,987643,1353769,0
epaxos-exec,900000,341990,703590,1225669,0
epaxos-commit,900000,246848,1005043,1403428,0
epaxos-exec,1000000,330227,725504,1290915,0
epaxos-commit,1000000,243074,1022740,1398006,0
paxos,5000,5033,3535,8717,0
paxos,50000,50123,5417,18749,0
paxos,100000,100078,74032,613149,0
paxos,150000,12035,2000000,2000000,441
paxos,200000,5793,2000000,2000000,470
paxos,250000,6221,2000000,2000000,467
paxos,400000,14761,2000000,2000000,430
paxos,500000,11373,2000000,2000000,447
paxos,550000,9423,2000000,2000000,456
paxos,560000,6006,2000000,2000000,469
paxos,575000,13091,2000000,2000000,438
paxos,600000,11312,2000000,2000000,448
paxos,650000,12627,2000000,2000000,438
paxos,750000,6853,2000000,2000000,465
paxos,900000,12627,2000000,2000000,441
paxos,1000000,17509,2000000,2000000,420
raxos-0,5000,5035,3980,16551,0
raxos-1,5000,5035,3941,17440,0
raxos-0,50000,50125,4488,151753,0
raxos-1,50000,50130,4146,103432,0
raxos-0,100000,100050,5231,288491,0
raxos-1,100000,100111,4665,184274,0
raxos-0,150000,149932,6047,264943,0
raxos-1,150000,150098,5096,154106,0
raxos-0,200000,199510,7067,523795,0
raxos-1,200000,199078,5640,563437,0
raxos-0,250000,247507,12517,715365,0
raxos-1,250000,248805,6690,592117,0
raxos-0,400000,368629,221638,1007066,0
raxos-1,400000,386968,24102,1036775,0
raxos-0,500000,394833,430241,1102617,0
raxos-1,500000,468432,109786,923618,0
raxos-0,550000,398147,492058,1115952,0
raxos-1,550000,499830,181938,905461,0
raxos-0,560000,415271,462904,1167941,0
raxos-1,560000,507887,176625,986763,0
raxos-0,575000,413510,470813,1173828,0
raxos-1,575000,512419,180692,945399,0
raxos-0,600000,411033,494998,1243917,0
raxos-1,600000,528348,173186,1131585,0
raxos-0,650000,407240,510442,1135451,0
raxos-1,650000,534931,247181,1057807,0
raxos-0,750000,416657,495711,1156304,0
raxos-1,750000,540116,305843,1512988,0
raxos-0,900000,396921,551101,1175691,0
raxos-1,900000,526077,356954,1116051,0
raxos-0,1000000,398330,554581,1230940,0
raxos-1,1000000,524047,367408,1181098,0
